,Error,Cost,Q_pos_x_0,Q_pos_x_1,Q_pos_y_0,Q_pos_y_1,Q_pos_z_0,Q_pos_z_1,Q_att_x_0,Q_att_x_1,Q_att_y_0,Q_att_y_1,Q_att_z_0,Q_att_z_1,Q_vel_0,Q_vel_1,Q_omega_0,Q_omega_1,Q_horizon_0,Q_horizon_1
0,36543.9010937646,1335456707.15085,1032.133,1000.124,997.756,1030.036,1484.968,1487.268,104.367,81.052,164.203,133.308,456.238,456.057,72.935,110.482,105.409,75.675,2.696,5.917
0,36468.8322177958,1329975723.32974,1018.068,995.404,1000.598,1027.408,1490.092,1484.038,103.437,76.305,164.017,133.911,457.693,451.777,73.785,114.364,111.361,74.269,2.347,6.31
0,41362.2181233184,1710833088.08097,1016.463,996.55,998.932,1029.931,1490.72,1479.555,101.128,83.381,160.102,127.948,461.246,449.342,78.685,110.602,113.419,71.226,2.553,6.994
0,inf,inf,1019.177,984.957,1006.264,1027.818,1490.446,1486.624,101.066,88.005,167.223,120.059,460.826,456.77,80.435,112.361,109.808,68.258,2.515,6.33
0,29842.7506648281,890589767.243099,1013.007,978.985,1012.161,1023.735,1499.175,1491.773,99.052,84.129,166.782,117.463,472.573,464.058,77.199,120.298,110.148,72.105,2.639,6.103
0,29311.1110813329,859141232.822238,1013.342,976.751,1013.023,1016.811,1494.038,1495.966,94.733,87.275,170.213,117.366,471.878,457.867,69.926,122.435,109.656,73.578,2.522,5.924
0,33728.0985217577,1137584629.89339,1008.778,975.752,1018.391,1011.017,1495.937,1497.881,90.554,87.605,167.622,108.397,471.689,457.618,73.22,119.444,108.481,74.985,2.86,6.958
0,27221.2023372312,740993856.684482,1010.402,974.455,1025.282,1014.194,1498.156,1494.418,93.642,71.665,166.898,107.565,473.064,462.17,76.038,118.426,112.816,67.672,3.198,6.962
0,37920.3753480992,1437954866.54073,1021.155,966.178,1026.169,1017.677,1497.554,1497.908,87.632,74.215,181.174,102.461,458.76,463.657,73.275,113.991,116.691,69.212,3.436,5.967
0,25843.6024984687,667891790.098859,1023.371,968.704,1029.088,1017.78,1493.602,1485.314,95.294,82.075,175.13,102.989,454.189,459.481,72.402,109.016,112.321,66.861,2.984,6.342
0,35648.9031601152,1270844296.51927,1029.371,962.905,1036.07,1018.031,1497.471,1483.103,95.168,84.864,173.275,105.514,451.659,460.649,77.878,121.542,115.937,64.4,3.603,6.281
0,40044.3105823078,1603546810.01233,1024.182,972.015,1038.898,1017.5,1498.574,1476.139,99.704,82.318,171.563,108.592,451.056,455.608,81.712,118.619,116.057,61.834,2.99,5.453
