error,t,p_x,p_y,p_z
0.15033448610216327,1614258693.4921381,0.7049990170524484,-0.7148991340797313,3.3069815245145415
0.398988653394429,1614258693.5121381,0.8793732867607479,-0.6226516439764547,3.272210035821879
0.7157533756044624,1614258693.532138,1.0558238501198034,-0.5214850014647431,3.233062519482613
0.405747157772922,1614258693.552138,1.2343388498982168,-0.41138246204513057,3.189584501572755
0.7531137200437066,1614258693.572138,1.4148990667224035,-0.2923243795506104,3.141836238620677
0.41078808563266533,1614258693.592138,1.5974758442887336,-0.16429211847527014,3.089897405236868
0.7883897013693262,1614258693.612138,1.7820295295975486,-0.02726989128330801,3.0338717020009844
0.41387980459524276,1614258693.6321383,1.968508315349211,0.11874505246365212,2.9738923352950155
0.8209859758620399,1614258693.6521382,2.1568522811485287,0.27374376732280215,2.910128844686686
0.41440759774718783,1614258693.6721382,2.346996158620493,0.4377056013281948,2.842795698330642
0.8498166401245107,1614258693.6921382,2.538873082973112,0.6106064168429415,2.7721643958206847
1.2987331536948368,1614258693.7121382,2.7324111428653213,0.7923945411979396,2.698574066497566
0.40618287458859315,1614258693.7321382,2.927526568804701,0.9829699360279502,2.6224579296798574
0.8799566466949935,1614258693.7521381,3.1241091955950715,1.1821052110370918,2.544402059372969
0.5964092972207553,1614258693.7521381,3.1241091955950715,1.1821052110370918,2.544402059372969
0.13100671415988008,1614258693.792138,3.521004942845583,1.6036133274399804,2.38581421282708
0.3678986183343802,1614258693.812138,3.720937694766376,1.8243484561298862,2.3075767609435185
0.8701114338418674,1614258693.832138,3.9215525722152202,2.0502349065436745,2.2318652732986637
0.33704447813432115,1614258693.852138,4.122540544736948,2.279647907846035,2.159937946821724
0.8363152917602954,1614258693.872138,4.323514992757154,2.5105365439972727,2.0925302173671936
0.3015122408517996,1614258693.8921382,4.524020220197287,2.740663067721019,2.0298956922053004
0.786310665705682,1614258693.9121382,4.723527469421639,2.967792245891317,1.9717336947460677
0.26605828219592764,1614258693.9321382,4.921493233738383,3.1900091897163843,1.9170999104573787
0.7301168128106537,1614258693.9521382,5.1174165728004795,3.40586498022093,1.8648205094092947
0.23359117059596257,1614258693.9721382,5.310871257756214,3.6143348525376684,1.813859513150718
0.6751861109865558,1614258693.9921381,5.50156377718059,3.814837457393297,1.763459697040129
0.22359690905721208,1614258694.0121381,5.689346043249189,4.007143463429722,1.713247263099653
0.6243818858971169,1614258694.032138,5.87419052762126,4.191228929383991,1.6632354103800784
1.0317902835950115,1614258694.052138,6.056160047822265,4.367166074761833,1.6137336782610308
0.2973008692786032,1614258694.072138,6.235382202033905,4.535061968222308,1.5652173735934158
0.5549363926454283,1614258694.092138,6.4120262169617295,4.695024588483456,1.5181948188073657
