,t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,mu_0
1581,11.3432,-5.423726627297012,-78.61802020681476,55.818471376112,0.29320807817946865,0.4752954320162082,0.3174457010907352,0.7663885801088294,11.78029588917763,-7.6732434914749135,1.2361151552505327,-0.14514359211417213,0.11942286517374688,-9.77565371091943e-22,4.0461717223507945,4.178998564620662,4.1741849960150015,4.041358153745133,0.001194403110896254
1582,11.3504,-5.339035825645277,-78.67284519106678,55.82721229719655,0.29335774733995434,0.474793437810334,0.3171110820938586,0.7667808935859897,11.827800998432595,-7.6096567401185355,1.2005345221144197,-0.188981317874944,0.1178342111271962,-2.0872269683680672e-21,4.107044238615513,4.178998558174778,4.177293003283574,4.105338683724308,0.0011918410452370885
1583,11.3576,-5.25400226949337,-78.72721451339562,55.8357003465742,0.2935660204156893,0.4742585446545321,0.3166821834850145,0.7672093409298487,11.875839845562108,-7.546227595762197,1.1656286276465009,-0.21272888029710615,0.11727131550826235,1.0532298023020326e-21,4.131866778470193,4.178998551207774,4.178132658179422,4.13100088544184,0.0011892843591659221
1584,11.3647,-5.168623954306557,-78.78112976741564,55.8439397373925,0.2938079907247153,0.4737037677934077,0.3161985160752778,0.7676588155318782,11.923904458856654,-7.483083644829173,1.1312209872024592,-0.2282840925764004,0.11698553907582986,8.709965438268352e-26,4.144364977560919,4.17899854371891,4.178475361915116,4.143841795757126,0.0011867330497916189
1585,11.3719,-5.082901307410831,-78.83459316559555,55.85193384725579,0.2940729035310874,0.4731350019673161,0.3156771842571448,0.7681225594454554,11.971824458176856,-7.420270629305786,1.0972559683004723,-0.23971443865266184,0.11681286990711474,1.6451333684630895e-20,4.151565026717753,4.17899853570702,4.178648034689352,4.151214525700085,0.0011841871140605374
1586,11.3791,-4.9968356276839305,-78.88760715919308,55.85968577454636,0.2943550960654865,0.4725553968613202,0.3151271901246541,0.7685969568174399,12.019527127458064,-7.357809663865237,1.063711671445373,-0.24876850199698675,0.11669719172619172,1.858920145554711e-21,4.1560986550719585,4.1789985271701005,4.1787470763087855,4.1558472042106445,0.0011816465487815696
1587,11.3863,-4.910428605047135,-78.9401743159693,55.86719850296925,0.2946511962170824,0.4719668366708892,0.31455388441148097,0.7690798301345171,12.066976117862243,-7.295712240649498,1.0305781688677869,-0.2563262990194143,0.11661420372683612,1.761554179453343e-21,4.1591316870103565,4.178998518105224,4.178809123363384,4.1589422922685175,0.00117911135063971
1588,11.3934,-4.8236821323837855,-78.99229726976219,55.87447496261319,0.29495902716977473,0.4713705364583937,0.3139607105848907,0.7695697600129507,12.114151173019428,-7.233985354726497,0.9978505163847031,-0.2628830813564721,0.1165516965211278,-2.8665915770903936e-22,4.161247062740089,4.1789985085085535,4.178850565336484,4.1610991195680205,0.0011765815162049515
1589,11.4006,-4.736598218969763,-79.04397869589687,55.881518056241205,0.29527710444161664,0.4707673202358877,0.3133500064355715,0.7700657692201998,12.161040088917,-7.172633614943197,0.9655260842790168,-0.2687417090115894,0.11650286985255252,1.7652205788149327e-23,4.162763895886911,4.178998498375355,4.178879625324657,4.162645022836213,0.0011740570419389205
1590,11.4078,-4.649178945776104,-79.09522129769587,55.88833067181822,0.2956043768950597,0.4701577654976053,0.3127234169998752,0.7705671586760486,12.2076350751101,-7.111660241257477,0.933603404465674,-0.2740997227953211,0.11646363738938627,5.149254777644271e-27,4.163869537894967,4.178998487700018,4.1789007973919645,4.163771847586913,0.0011715379242002448
1591,11.415,-4.561426440343764,-79.1460277984209,55.89491568892532,0.2959400814831277,0.469542284774073,0.3120821261513479,0.7710734149126981,12.253930934703588,-7.051067588079702,0.9020816262405886,-0.27909283067378565,0.11643139600759345,-1.3781217884752482e-20,4.1646802756245735,4.178998476476077,4.178916706146511,4.164598505295008,0.0011690241592491562
1592,11.4221,-4.473342861713274,-79.19640093615088,55.90127598222599,0.2962836562217791,0.4689211746902561,0.31142699531625945,0.7715841543465118,12.299924080078686,-6.990857442610962,0.8709602422667752,-0.2838183616854052,0.11640440880213365,-1.7827179921040534e-20,4.165271640615334,4.17899846469622,4.17892896797353,4.165202143892643,0.0011665157432515644
1593,11.4293,-4.384930390915467,-79.24634346037583,55.9074144234246,0.296634685226503,0.4682946470252002,0.3107586510272443,0.7720990879202045,12.34561196623268,-6.931031206739898,0.8402389443310658,-0.2883487166900557,0.11638147233674374,-8.065774791309349e-21,4.165694598643537,4.178998452352299,4.178938622568571,4.16563476885981,0.0011640126722827651
1594,11.4365,-4.296191224725129,-79.29585812966033,55.913333882423665,0.29699286246333834,0.4676628492205426,0.3100775426097885,0.7726179976813876,12.39099274746726,-6.871590014302512,0.8099175453959979,-0.2927394759709649,0.1163617263154837,-1.1673279408366819e-21,4.165984694917831,4.178998439435332,4.178946363395907,4.165932618878406,0.0011615149423308592
1595,11.4437,-4.207127571423581,-79.34494771000958,55.919037228047046,0.2973579669482725,0.4670258784126823,0.3093839815958085,0.773140720687082,12.436065060450074,-6.81253481031081,0.7799959372393319,-0.2970344885868881,0.11634453931400116,-1.8682976154602684e-22,4.166167470800708,4.1789984259354975,4.178952667431599,4.1661217122968095,0.0011590225492999525
1596,11.4508,-4.117741647848173,-79.39361497371796,55.92452732852871,0.2977298452224101,0.4663837913388561,0.3086781695246639,0.7736671375769423,12.480827882266992,-6.75386640667263,0.7504740679716612,-0.30126917400768266,0.11632943733076648,2.4621126037707102e-22,4.166261805835422,4.178998411842132,4.178957871525015,4.1662212655183035,0.0011565354890131635
1597,11.458,-4.0280356772935715,-79.4418626985621,55.92980705188028,0.29810839859532146,0.4657366115350502,0.3079602181358632,0.7741971642132616,12.525280434832823,-6.6955855227453425,0.7213519310095658,-0.3054727207585195,0.11631605754040432,1.020887628813274e-21,4.166282054250115,4.1789983971437215,4.1789622190813365,4.166245876187731,0.0011540537572154765
1598,11.4652,-3.9380118879921113,-79.48969366724772,55.93487926620304,0.2984935735895209,0.4650843347151769,0.30723016445727896,0.7747307453839776,12.569422118996364,-6.63769281572869,0.692629560801042,-0.30966957993943045,0.11630411745397105,-7.629649451633486e-22,4.1662394534152005,4.178998381827883,4.178965889552892,4.16620696114021,0.0011515773495764535
1599,11.4724,-3.8476725119964335,-79.53711066704899,55.93974683998312,0.29888535457316806,0.4644269329086649,0.3064879824087077,0.7752678499184156,12.613252468259663,-6.5801889040135935,0.6643070325763704,-0.31388049390230044,0.11629339381245328,-1.253361805977476e-21,4.166143076487897,4.178998365881348,4.178969017612319,4.166113728218867,0.0011491062616928273
1600,11.4795,-3.757019784346357,-79.58411648959684,55.944412642393104,0.2992837579072102,0.4637643577420153,0.3057335919996731,0.7758084667824996,12.656771115792615,-6.523074385491904,0.6363844644820875,-0.3181232105202423,0.11628370780812405,5.6684933822714075e-21,4.166000489276537,4.178998349289946,4.178971705936884,4.1659738459234745,0.0011466404890909815
1601,11.4867,-3.6660559424393626,-79.63071393078525,55.94887954361359,0.2996888271483749,0.463096543127959,0.3049668668571032,0.7763526018582587,12.699977770641134,-6.4663498521549165,0.608862021065153,-0.3224129806676705,0.1162749145251933,-1.3654007320492441e-22,4.1658182077009736,4.178998332038575,4.178974033926487,4.165793909588885,0.0011441800272293295
