x,y,z,t
5.8707359101953385,-14.308598089856442,11.334706708829792,36.01
5.944106234455893,-14.385555799359052,11.387408604650277,36.02
6.017779386370123,-14.462074883011688,11.44021276280323,36.03
6.091747723204566,-14.538131731925562,11.493114291442698,36.04
6.166003273338625,-14.613703351284547,11.546107089858598,36.05
6.240537839327751,-14.688767426357899,11.599184476231443,36.06
6.315342746735476,-14.763302599506215,11.6523386809703,36.07
6.390409465558896,-14.837287406314635,11.705563158271575,36.08
6.465728864572046,-14.910701209323568,11.758849843272941,36.09
6.54129152218868,-14.983523928889838,11.812189710382464,36.1
6.617087711269243,-15.055736468311009,11.86557233651147,36.11
6.693107900301772,-15.127320175319554,11.918987630774586,36.12
6.769341286556179,-15.198259541814995,11.972421031685672,36.13
6.845779398526683,-15.268534951678289,12.0258669512311,36.14
6.922413152843286,-15.338128084496374,12.079318203055195,36.15
6.999232983325501,-15.407021909463928,12.13276602207584,36.16
7.076229999898789,-15.475198284304211,12.1862041052378,36.17
7.153394893296587,-15.542640979425347,12.239624115758597,36.18
7.230718376775713,-15.609334687687157,12.293017633876321,36.19
7.308190975282585,-15.67526535672966,12.346375571669512,36.2
7.385803259942015,-15.74041932099735,12.399689270305842,36.21
7.463545909901711,-15.804783101133305,12.452950623320719,36.22
7.541409545543186,-15.868344244527425,12.506151058546232,36.23
7.619385302765963,-15.93108941568603,12.559284120633201,36.24
7.6974641439005005,-15.993007131104687,12.61234201965819,36.25
7.7756372110074174,-16.05408627145362,12.665317559135575,36.26
7.853895706439487,-16.114316381322563,12.718203777565119,36.27
7.932231121017741,-16.17368672184645,12.770995085171924,36.28
8.010634746715844,-16.232188986910913,12.823684313213208,36.29
8.08909811816256,-16.28981550434636,12.876264801673498,36.3
8.16761305710744,-16.346558938601838,12.92873076709362,36.31
8.246171661433626,-16.40241211320216,12.981077484454868,36.32
8.324766462047279,-16.45736668419707,13.03330278314457,36.33
8.403389906381205,-16.511416917119675,13.085403225852161,36.34
8.482034570541572,-16.564558925361002,13.137374779187704,36.35
8.560693484566935,-16.616788526786056,13.189215087247542,36.36
8.639359926875281,-16.66810281215878,13.240921864965552,36.37
8.71802751732766,-16.718499063504584,13.292494118637054,36.38
8.796690120389721,-16.767975510133343,13.343931157269278,36.39
8.875341893848438,-16.816530673788467,13.395233195722,36.4
8.953977267605472,-16.864164138185807,13.446400606543977,36.41
9.032591013670674,-16.910875753249623,13.497434783544337,36.42
9.111178227956046,-16.956666170227333,13.548337676571023,36.43
9.189734324186043,-17.001537306285275,13.599111446879272,36.44
9.268255107815186,-17.04549192463673,13.649758784728395,36.45
9.346736796083086,-17.088533211729487,13.700283327891198,36.46
9.425175950817401,-17.130665406858313,13.750689129291645,36.47
9.503569487264597,-17.171892497541474,13.800982134242565,36.48
9.581914564911585,-17.212219769087532,13.851168221618991,36.49
9.660208700078034,-17.25165290279453,13.901254082373985,36.5
9.738449860780472,-17.290198342839144,13.951246966212,36.51
9.816636493574505,-17.327864045285953,14.001154101768082,36.52
9.894767491289466,-17.364658013673612,14.050984528009195,36.53
9.972842022018467,-17.400589812127325,14.10074698344971,36.54
10.05085949533902,-17.43567052597163,14.150449623503876,36.55
10.12881969099869,-17.469911617654407,14.2001013560546,36.56
10.206722906513294,-17.50332293539617,14.24971460445764,36.57
10.284569817674177,-17.535916722273754,14.299300060425571,36.58
10.362361321237719,-17.5677067058325,14.348867492196451,36.59
10.440098408647401,-17.598706869498486,14.398427108508967,36.6
10.517782186780035,-17.628931319953107,14.447989718566173,36.61
10.595414044100218,-17.658394796760223,14.497566181645404,36.62
10.672995864250728,-17.687113002621967,14.54716733498579,36.63
10.750530011797204,-17.71510246257678,14.59680412778787,36.64
